 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
阿里山賓館,70,992,47.24%,"8,424","8,356,737",0,"8,356,737",15,0,9,9,33,,,,,,
Alishan House,,,,,,,,,,,,,,,,,,
名都觀光渡假大飯店,297,"4,213",46.76%,"1,892","7,973,059","10,669,729","19,261,707",72,102,54,0,228,,,,,,
Beau Max Resort Hotel,,,,,,,,,,,,,,,,,,
阿里山賓館(新館),310,"7,510",79.88%,"5,433","40,800,537","17,035,842","60,632,358",129,76,59,69,333,,,,,,
Alishan House,,,,,,,,,,,,,,,,,,
總計,"7,583","141,573",61.56%,"5,384","762,210,180","390,907,039","1,257,811,340","2,357","2,621","1,189","1,710","7,877",,,,,,
Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
列印日期：,2016/5/2,桃竹苗地區 TauHsiuMiao,,資料期間：,,2016年1月至2016年3月(Data for 2016/1～2016/3),,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
晶悅國際飯店(原桃園大飯店),"1,164","29,543",83.67%,"1,698","50,155,904","18,965,134","72,296,403",221,249,85,47,602,,,,,,
Pleasant Hotels International,,,,,,,,,,,,,,,,,,
尊爵天際大飯店,750,"19,503",85.73%,"2,413","47,063,535","26,356,948","76,061,968",119,182,67,40,408,,,,,,
Ｍonarch-Skyline Hotel,,,,,,,,,,,,,,,,,,
南方莊園,333,"5,649",55.93%,"4,568","25,804,752","36,773,593","76,937,139",117,238,81,120,556,,,,,,
South Gardens Resort,,,,,,,,,,,,,,,,,,
台北諾富特華航桃園機場飯店,"1,080","30,097",91.87%,"2,658","79,986,698","58,890,544","151,823,294",247,368,174,47,836,,,,,,
Novotel Taipei Taoyuan International Airport,,,,,,,,,,,,,,,,,,
新竹喜來登大飯店,"1,158","29,754",84.71%,"3,742","111,327,682","132,417,739","274,060,864",355,506,60,224,"1,145",,,,,,
Sheraton Hsinchu Hotel,,,,,,,,,,,,,,,,,,
新竹老爺大酒店,624,"12,684",67.01%,"2,993","37,961,698","40,786,732","82,323,972",129,296,150,27,602,,,,,,
Hotel Royal Hsinchu,,,,,,,,,,,,,,,,,,
新竹國賓大飯店,771,"18,204",77.84%,"3,285","59,793,312","99,300,372","199,585,735",324,626,109,51,"1,110",,,,,,
The Ambassador Hotel Hsinchu,,,,,,,,,,,,,,,,,,
尊爵大飯店,693,"18,823",89.54%,"2,320","43,664,420","66,538,212","118,120,597",131,278,93,80,582,,,,,,
Monarch Plaza Hotel,,,,,,,,,,,,,,,,,,
古華花園飯店,765,"18,683",80.51%,"2,869","53,604,127","46,742,291","108,352,046",199,398,24,74,695,,,,,,
Hotel Kuva Chateau,,,,,,,,,,,,,,,,,,
福容大飯店 桃園,546,"13,588",82.04%,"2,173","29,525,559","18,661,981","50,327,759",96,141,24,30,291,,,,,,
Fullon Hotel Taoyuan,,,,,,,,,,,,,,,,,,
福容大飯店 林口,444,"12,260",91.03%,"3,020","37,019,325","36,797,309","74,086,573",135,190,33,41,399,,,,,,
Fullon Hotel Linkou,,,,,,,,,,,,,,,,,,
豐邑喜來登大飯店,"1,167","3,307",9.34%,"3,740","12,369,741","9,740,850","24,212,416",126,97,9,108,340,,,,,,
Glory Hotel,,,,,,,,,,,,,,,,,,
苗栗兆品酒店,573,"9,838",56.60%,"2,037","20,041,766","19,156,901","40,261,792",123,126,72,0,321,,,,,,
Miaoli Maison De Chine,,,,,,,,,,,,,,,,,,
總計,"10,068","221,933",72.67%,"2,741","608,318,519","611,128,606","1,348,450,558","2,322","3,695",981,889,"7,887",,,,,,
Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
列印日期：,2016/5/2,其他地區 Other,,資料期間：,,2016年1月至2016年3月(Data for 2016/1～2016/3),,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
