Hotel Kingdom,,,,,,,,,,,,,,
華園大飯店,"3,228","53,439",54.43%,"2,196","117,366,560","57,369,511","184,164,523",530,445,314,0,"1,289",,
Hotel Holiday Garden Kaohsiung,,,,,,,,,,,,,,
高雄國賓大飯店,"5,272","118,996",74.20%,"2,196","261,292,356","310,322,576","610,473,930","1,590","1,901",230,531,"4,252",,
The Ambassador Hotel Kaohsiung,,,,,,,,,,,,,,
漢來大飯店,"6,480","136,456",69.23%,"2,937","400,818,805","722,868,472","1,529,711,605","2,079","4,766",94,"1,802","8,741",,
Grand Hi-Lai Hotel,,,,,,,,,,,,,,
高雄福華大飯店,"3,396","84,298",81.61%,"2,032","171,335,000","207,773,000","427,755,000",967,"1,132",418,314,"2,831",,
Howard Plaza Hotel Kaohsiung,,,,,,,,,,,,,,
高雄金典酒店,"7,020","140,093",65.61%,"2,624","367,550,556","427,861,958","917,337,899","1,523","3,043","1,802",0,"6,368",,
"The Splendor, Kaohsiung",,,,,,,,,,,,,,
寒軒國際大飯店,"4,560","98,704",71.16%,"1,814","179,066,508","263,503,344","462,488,502","1,279","1,503",500,254,"3,536",,
Han-Hsien lnternational Hotel,,,,,,,,,,,,,,
麗尊大酒店,"2,376","45,909",63.52%,"2,165","99,388,422","150,029,825","265,077,669",576,"1,176",336,60,"2,148",,
The Lees Hotel,,,,,,,,,,,,,,
福容大飯店 高雄,150,"1,300",27.96%,"3,025","3,932,181","28,145","5,280,918",40,39,6,6,91,,
Fullon Hotel Kaohsiung,,,,,,,,,,,,,,
總計,"36,046","754,261",68.79%,"2,280","1,719,995,601","2,258,245,065","4,646,661,517","9,182","14,839","4,247","3,000","31,268",,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
列印日期：,2011/1/31,台中地區,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
,,Taichung,,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
全國大飯店,"3,672","64,472",57.72%,"1,791","115,440,903","240,996,041","390,373,563",691,"1,644",54,552,"2,941",,
Hotel National,,,,,,,,,,,,,,
通豪大飯店,"2,736","68,167",81.91%,"1,725","117,606,505","113,697,951","245,237,463",728,"1,181",396,114,"2,419",,
Plaza International Hotel,,,,,,,,,,,,,,
長榮桂冠酒店(台中),"4,248","96,423",74.63%,"2,391","230,565,367","270,375,185","567,864,298",882,"1,407",638,0,"2,927",,
Evergreen Laurel Hotel (Taichung),,,,,,,,,,,,,,
台中福華大飯店,"1,860","38,277",67.66%,"2,467","94,425,499","174,533,496","307,530,257",521,"1,167",391,141,"2,220",,
Howard Prince Hotel Taichung,,,,,,,,,,,,,,
台中金典酒店,"2,664","50,407",62.21%,"2,349","118,420,966","246,727,744","551,080,778","1,892","1,417",849,179,"4,337",,
The Splendor Hotel,,,,,,,,,,,,,,
裕元花園酒店,"1,788","42,691",78.50%,"3,221","137,514,051","256,569,802","440,892,574",719,"1,585",244,422,"2,970",,
Windsor Hotel,,,,,,,,,,,,,,
總計,"16,968","360,437",69.84%,"2,258","813,973,291","1,302,900,219","2,502,978,933","5,433","8,401","2,572","1,408","17,814",,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
列印日期：,2011/1/31,花蓮地區,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
,,Hualien,,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
花蓮亞士都飯店,"2,004","42,666",70.00%,"1,982","84,580,892","12,009,953","97,802,964",264,141,92,0,497,,
Astar Hotel,,,,,,,,,,,,,,
統帥大飯店,"3,240","68,961",69.98%,"1,528","105,373,206","86,245,760","195,865,429",437,916,321,84,"1,758",,
Marshal Hotel,,,,,,,,,,,,,,
花蓮翰品酒店,"2,532","44,582",57.89%,"1,772","79,014,708","81,534,323","162,915,259",568,592,304,0,"1,464",,
Hualien Chateau de Chine Hotel,,,,,,,,,,,,,,
美侖大飯店,"4,116","91,306",72.93%,"2,580","235,572,251","162,782,193","420,748,573","1,114","1,436",86,762,"3,398",,
Parkview Hotel,,,,,,,,,,,,,,
遠雄悅來大飯店,"4,692","77,619",54.39%,"4,102","318,370,451","164,199,975","548,039,410","1,946","1,410",444,533,"4,333",,
"Farglory Hotel, Hualien",,,,,,,,,,,,,,
總計,"16,584","325,134",64.46%,"2,531","822,911,508","506,772,204","1,425,371,635","4,329","4,495","1,247","1,379","11,450",,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
列印日期：,2011/1/31,風景區,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
,,Scenic Area,,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
陽明山中國麗緻大飯店,564,"7,810",45.53%,"4,345","33,930,678","29,241,175","91,580,594",126,190,100,218,634,,
Hotel Landis China Yangmingshan,,,,,,,,,,,,,,
高雄圓山大飯店,"1,284","23,984",61.41%,"1,524","36,553,201","126,570,097","179,934,669",434,"1,205",250,869,"2,758",,
Grand Hotel Kaohsiung,,,,,,,,,,,,,,
凱撒大飯店,"3,048","76,237",82.23%,"4,822","367,645,566","143,877,842","541,508,318",979,"1,018",181,834,"3,012",,
Caesar Park Hotel Kenting,,,,,,,,,,,,,,
知本老爺大酒店,"2,184","38,584",58.08%,"3,732","143,982,324","79,465,453","259,451,042",491,554,528,778,"2,351",,
Hotel Royal Chihpen Spa,,,,,,,,,,,,,,
太魯閣晶英酒店,"1,920","19,434",33.28%,"3,596","69,879,153","37,887,528","126,893,048",689,392,359,399,"1,839",,
"Silks Place Hotel, Taroko",,,,,,,,,,,,,,
墾丁福華渡假飯店,"4,860","105,963",71.68%,"2,795","296,157,197","133,885,230","459,969,680","1,199",866,0,"1,454","3,519",,
Howard Beach Resort Kenting,,,,,,,,,,,,,,
曾文.山芙蓉渡假大酒店,"2,412","29,599",40.34%,"1,605","47,504,245","31,966,748","83,329,724",368,347,24,308,"1,047",,
The Hibiscus Resort,,,,,,,,,,,,,,
涵碧樓大飯店,"1,152","28,316",80.81%,"10,188","288,491,303","108,196,123","469,457,671",580,849,259,824,"2,512",,
The Lalu Sun Moon Lake,,,,,,,,,,,,,,
礁溪老爺大酒店,"2,316","47,352",67.22%,"6,376","301,920,043","203,496,279","589,649,587",791,"1,310",966,550,"3,617",,
Hotel Royal Chiao-His,,,,,,,,,,,,,,
日月潭雲品酒店,"2,532","53,804",69.86%,"6,165","331,721,318","209,973,478","600,125,670","1,210","1,147",512,296,"3,165",,
Fleur De Chine Hotel,,,,,,,,,,,,,,
日月行館,552,"2,191",12.94%,"10,795","23,651,404","16,533,791","45,795,406",176,224,148,370,918,,
Wen Wan Hotel & Resorts,,,,,,,,,,,,,,
阿里山賓館,420,"5,936",46.47%,"4,665","27,693,481","15,005,112","48,327,946",126,130,143,74,473,,
Alishan House,,,,,,,,,,,,,,
龍谷大飯店,"2,264","32,528",47.24%,"1,939","63,062,636","23,535,554","90,864,452",167,160,99,104,530,,
Dragon Valley Hotel,,,,,,,,,,,,,,
南台灣大飯店,"1,260","23,270",60.72%,"1,301","30,272,527","15,783,566","66,637,532",167,97,132,240,636,,
South Formosa Hotel,,,,,,,,,,,,,,
水沙蓮觀光大飯店,648,"5,667",28.75%,"1,521","8,620,021","1,576,830","10,196,851",41,29,13,12,95,,
El Dorado Hotel,,,,,,,,,,,,,,
名都觀光渡假大飯店,"1,188","18,948",52.44%,"1,782","33,760,825","42,538,501","80,081,760",299,507,192,75,"1,073",,
Beau Max Resort Hotel,,,,,,,,,,,,,,
總計,"28,604","519,623",59.71%,"4,051","2,104,845,922","1,219,533,307","3,743,803,950","7,843","9,025","3,906","7,405","28,179",,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
列印日期：,2011/1/31,桃竹苗地區,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
,,TauHsiuMiao,,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
桃園大飯店,"4,675","130,682",91.90%,"1,071","140,025,155","64,079,957","233,215,341",837,604,330,95,"1,866",,
Taoyuan Hotel,,,,,,,,,,,,,,
大溪別館,832,"11,134",44.61%,"1,885","20,985,892","17,236,943","48,157,261",172,210,115,36,533,,
Ta Shee Resort Hotel,,,,,,,,,,,,,,
新竹老爺大酒店,"2,496","53,669",70.69%,"2,903","155,792,850","130,897,602","306,952,037",598,"1,170",672,213,"2,653",,
Hotel Royal Hsinchu,,,,,,,,,,,,,,
新竹國賓大飯店,"3,084","55,861",59.55%,"3,694","206,368,129","343,349,456","728,625,254","1,296","2,334",449,150,"4,229",,
The Ambassador Hotel Hsinchu,,,,,,,,,,,,,,
尊爵天際大飯店,"3,000","51,529",56.47%,"2,374","122,329,443","136,138,619","276,601,592",512,761,307,199,"1,779",,
Ｍonarch-Skyline Hotel,,,,,,,,,,,,,,
南方莊園,"1,332","20,425",50.41%,"3,941","80,494,427","136,165,522","260,230,201",376,733,385,261,"1,755",,
South Gardens Resort,,,,,,,,,,,,,,
新竹喜來登大飯店,"3,474","36,739",34.61%,"3,609","132,590,430","186,795,421","350,875,586","1,221","1,230",397,635,"3,483",,
Sheraton Hsinchu Hotel,,,,,,,,,,,,,,
台北諾富特華航桃園機場飯店,"4,290","88,515",67.83%,"1,993","176,410,466","122,776,692","332,029,280",892,"1,185",447,229,"2,753",,
Novotel Taipei Taoyuan International Airport,,,,,,,,,,,,,,
尊爵大飯店,"2,772","58,249",69.08%,"2,093","121,898,715","229,808,014","386,563,611",564,"1,248",464,478,"2,754",,
Monarch Plaza Hotel,,,,,,,,,,,,,,
新竹福華大飯店,"1,456","33,945",76.65%,"2,201","74,713,321","34,566,349","116,993,737",325,322,177,92,916,,
Howard Plaza Hotel Hsinchu,,,,,,,,,,,,,,
古華花園飯店,"2,880","57,681",65.85%,"2,069","119,318,914","143,923,276","293,397,784",553,"1,099",108,270,"2,030",,
Hotel Kuva Chateau,,,,,,,,,,,,,,
福容大飯店 桃園,"2,184","35,059",52.78%,"2,420","84,828,587","53,828,514","149,160,376",224,484,50,96,854,,
Fullon Hotel Taoyuan,,,,,,,,,,,,,,
福容大飯店 林口,"1,788","48,268",88.75%,"2,414","116,524,778","56,294,082","178,614,867",330,372,121,60,883,,
Fullon Hotel Linkou,,,,,,,,,,,,,,
苗栗兆品酒店,"1,296","23,972",60.81%,"1,612","38,632,776","53,125,230","98,905,255",308,417,222,0,947,,
Miaoli Maison De Chine,,,,,,,,,,,,,,
總計,"35,559","705,728",65.24%,"2,254","1,590,913,883","1,708,985,677","3,760,322,182","8,208","12,169","4,244","2,814","27,435",,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
列印日期：,2011/1/31,其他地區,,資料期間：,,2010年1月至2010年12月(Data for 2010/1~2010/12),,,,,,,,
